Address,Neighborhood,HouseType,Price,Bath,CrimeIndex,MinutesToLoop,MilesToLake,Age,LotSizeSqft,HouseSizeSqft,SchoolIndex
"2012 W Saint Paul Ave #208, Chicago IL",Wicker Park,Condo,310000,2,5.58,22,3.45,41,0,1500,36.1
"1400 N Milwaukee Ave #403, Chicago IL",Wicker Park,Condo,310000,2,5.38,9,3.27,0,0,1500,69.4
"1732 W Pierce Ave, Chicago IL",Wicker Park,Multi-Family Home,314000,3,5.18,9,3.06,131,2614,2405,50
"1544 W Thomas St #2, Chicago IL",Wicker Park,Condo,315000,2,5.3,7,2.98,0,0,1500,27.3
"2251 W Saint Paul Ave #3H, Chicago IL",Wicker Park,Condo,315000,2,5.17,22,3.92,0,0,1500,36.1
"1521 W Haddon Ave #2B, Chicago IL",Wicker Park,Condo,315000,2,5.5,8,2.94,0,0,1500,27.3
"1521 W Haddon Ave #20, Chicago IL",Wicker Park,Condo,315000,2,5.5,8,2.94,0,0,1500,27.3
"1735 N Paulina St #314, Chicago IL",Wicker Park,Condo,318000,2,2.4,9,2.9,0,0,1500,50
"1427 N Leavitt St #2, Chicago IL",Wicker Park,Condo,320000,2,4.26,11,3.9,0,0,1500,16.7
"1520 W Walton St #2, Chicago IL",Wicker Park,Condo,320500,2,4.1,7,3.02,0,0,1500,91.7
"1338 N Leavitt St, Chicago IL",Wicker Park,Single-Family Home,322000,2,3.76,10,3.97,126,3049,1260,16.7
"1514 N Milwaukee Ave #2N, Chicago IL",Wicker Park,Condo,322500,3,4.79,9,3.42,0,0,2500,69.4
"2039 W Crystal St #2, Chicago IL",Wicker Park,Condo,325000,3,3.59,10,3.75,0,0,2500,69.4
"1524 W Thomas St, Chicago IL",Wicker Park,Single-Family Home,326000,2,5.3,7,2.95,119,3049,1089,27.3
"2045 W Concord Pl #301, Chicago IL",Wicker Park,Condo,327000,3,5.65,10,3.59,0,0,2500,69.4
"1652 N Milwaukee Ave #P-17, Chicago IL",Wicker Park,Condo,327000,3,4.58,10,3.59,0,0,2500,69.4
"1728 N Damen Ave #304, Chicago IL",Wicker Park,Condo,334000,3,5.65,9,3.42,41,0,2500,36.1
"1728 N Damen Ave #210, Chicago IL",Wicker Park,Condo,334000,3,5.65,9,3.42,41,0,2500,36.1
"1740 N Marshfield Ave #5, Chicago IL",Wicker Park,Condo,335000,3,1.4,9,2.84,0,0,2500,50
"1259 N Wood St #202, Chicago IL",Wicker Park,Condo,335000,3,4.93,9,3.3,0,0,2500,59.5
"2225 W Wabansia Ave #204, Chicago IL",Wicker Park,Condo,336000,3,5.58,11,3.83,0,0,2500,36.1
"1259 N Wood St #207, Chicago IL",Wicker Park,Condo,337000,3,4.93,9,3.3,0,0,2500,59.5
"2225 W Wabansia Ave #301, Chicago IL",Wicker Park,Condo,337000,3,5.58,11,3.83,0,0,2500,36.1
"2210 W Wabansia Ave #307, Chicago IL",Wicker Park,Condo,338000,3,5.58,11,3.81,0,0,2500,36.1
"1740 N Marshfield Ave #7, Chicago IL",Wicker Park,Condo,339000,3,1.4,9,2.84,0,0,2500,50
"1259 N Wood St #206, Chicago IL",Wicker Park,Condo,339000,3,4.93,9,3.3,0,0,2500,59.5
"1332 N Wolcott Ave #1, Chicago IL",Wicker Park,Condo,341000,3,5.88,9,3.4,0,0,2500,69.4
"2225 W Wabansia Ave #302, Chicago IL",Wicker Park,Condo,345000,3,5.58,11,3.83,0,0,2500,36.1
"907 N Hermitage Ave #3, Chicago IL",Wicker Park,Condo,345000,3,4.23,8,3.39,0,0,2500,22.2
"2245 W Cortez St, Chicago IL",Wicker Park,Multi-Family Home,350000,2,1.96,10,4.2,99,3920,2652,33.3
"1111 N Hermitage Ave, Chicago IL",Wicker Park,Condo,350000,3,5.38,8,3.29,0,0,2500,59.5
"1701 N Damen Ave, Chicago IL",Wicker Park,Condo,350000,3,5.65,9,3.43,0,0,2500,36.1
"2300 W Wabansia Ave #111, Chicago IL",Wicker Park,Condo,350000,3,8.08,11,3.95,0,0,2500,36.1
"1122 N Winchester Ave #2, Chicago IL",Wicker Park,Condo,355000,3,3.49,9,3.67,0,0,2500,59.5
"1222 N Wolcott Ave #1N, Chicago IL",Wicker Park,Condo,355000,3,4.99,9,3.53,0,0,2500,59.5
"1102 N Marshfield Ave #1W, Chicago IL",Wicker Park,Condo,357000,3,5.63,8,3.14,0,0,2500,22.2
"1720 N Marshfield Ave #111, Chicago IL",Wicker Park,Condo,357000,3,1.4,9,2.84,98,0,2500,50
"1548 N Bosworth Ave #1, Chicago IL",Wicker Park,Condo,359000,3,4.3,8,2.77,0,0,2500,50
"1259 N Wood St #208, Chicago IL",Wicker Park,Condo,363500,3,4.93,9,3.3,0,0,2500,59.5
"1074 N Marshfield Ave #3, Chicago IL",Wicker Park,Condo,365000,3,5.43,8,3.17,0,0,2500,22.2
"1818 W Ellen St #4, Chicago IL",Wicker Park,Condo,367500,3,5.13,9,3.34,0,0,2500,59.5
"1511 N Paulina St #N, Chicago IL",Wicker Park,Condo,368500,2,4.93,8,3.01,0,871,935,50
"1073 N Paulina St #2, Chicago IL",Wicker Park,Condo,368500,3,4.93,8,3.23,0,0,2500,59.5
"1444 N Bosworth Ave #3S, Chicago IL",Wicker Park,Condo,370000,3,4.5,8,2.82,0,0,2500,78.9
"1016 N Marshfield Ave #3, Chicago IL",Wicker Park,Condo,370000,3,5.43,8,3.21,0,0,2500,22.2
"1102 N Wood St #3, Chicago IL",Wicker Park,Condo,375000,3,4.18,8,3.42,0,0,2500,59.5
"2045 W Concord Pl #504, Chicago IL",Wicker Park,Condo,375000,3,5.65,10,3.59,0,0,2500,69.4
"1801 W Thomas St #2, Chicago IL",Wicker Park,Condo,375000,3,3.68,8,3.43,0,0,2500,59.5
"1026 N Hermitage Ave #2, Chicago IL",Wicker Park,Condo,380000,3,5.68,9,3.37,0,0,2500,22.2
